,customer_id,customer_visit_score,customer_product_search_score,customer_ctr_score,customer_stay_score,customer_frequency_score,customer_product_variation_score,customer_order_score,customer_affinity_score,customer_category,customer_active_segment_A,customer_active_segment_AA,customer_active_segment_B,customer_active_segment_C,customer_active_segment_D,X1_A,X1_AA,X1_BA,X1_E,X1_F
18,csid_19,21.41646406959781,7.141112551577155,-0.015681375664994588,-0.0682048301207346,0.8754768171964444,7.681883903082154,3.000827890217964,2.4221783402151456,0,0,0,0,1,0,0,0,0,0,1
19,csid_20,12.297850448791122,4.1285257613973325,0.4720052676123082,0.7253842681541884,5.581854589149891,7.9969842339953985,2.0648062792498934,0.9425541788237992,1,0,0,1,0,0,0,0,0,0,1
20,csid_21,17.012508854194625,4.78278118151315,0.18012205454321298,-0.003636161573802782,0.9234969559748124,5.089259565307321,2.492780564282704,6.750374413269343,0,0,0,1,0,0,0,0,0,0,1
21,csid_22,12.448532915559039,5.1822469133683775,0.04704247603749658,0.07238443025218384,0.5436615958550509,4.055774563169065,2.372085844636581,13.04577787050755,0,0,0,0,1,0,0,0,1,0,0
22,csid_23,24.297279951688914,5.711134644448018,0.1062473431446881,0.1985078053683809,0.2518588720394671,3.5610924713246184,4.585938248058506,27.23237728069027,0,0,0,1,0,0,0,0,1,0,0
23,csid_24,25.83221946038448,8.571171299703593,0.07473611404591192,-0.07398301043892674,0.9643999808802468,6.033987993303888,2.2204523666923195,5.620820934577849,0,0,0,0,1,0,0,0,1,0,0
24,csid_25,23.890041975074553,5.112091511600749,0.12695471784710605,-0.02866749489037837,0.3020158775306519,4.265797982892005,3.9328400635733636,8.759480505632965,0,0,0,0,1,0,0,0,1,0,0
25,csid_26,20.77116146216147,8.4260757947557,0.08546410782657905,-0.017075408437131,1.6514203725409105,7.860429285217843,2.776162606893973,2.8765703040919903,0,0,0,0,1,0,0,0,1,0,0
26,csid_27,25.614756002860666,5.820362565442432,0.04843328950832133,0.002896282117071303,0.3758063513968733,3.3733782892703825,3.4157945536638548,28.201176947424496,0,0,0,1,0,0,1,0,0,0,0
27,csid_28,20.335112726160716,9.204977695217526,-0.0007589496420494793,-0.11555543593147248,0.4860673097411333,4.1022598015741165,4.35556731322138,17.07231541543857,0,0,0,1,0,0,0,0,1,0,0
28,csid_29,14.539531375165478,3.252078601118562,0.06039874539597696,-0.023420178617987626,0.5073740552550625,4.1519850905195215,3.824845245703085,23.00566650106545,0,0,0,1,0,0,0,0,1,0,0
29,csid_30,16.161022413610574,5.060338409453627,0.06895320132670453,0.039036214117251625,0.2433389607448214,4.511562677787531,5.083201632681615,41.289141812438906,0,0,0,1,0,0,0,1,0,0,0
30,csid_31,22.91615548931327,6.067534377303058,0.029419464112101962,0.16205745879512312,0.1849809011114531,4.492461364215286,4.858139934333252,45.501199224755105,0,0,0,0,1,0,0,1,0,0,0
31,csid_32,22.511707268023567,6.295820655330224,0.1442714353389332,0.17755223319405608,0.058913363475839475,4.027358683507791,4.512894847062883,82.96168884984625,0,0,0,1,0,0,0,1,0,0,0
32,csid_33,26.102079227964285,5.8462104100786405,-0.014364676925775198,-0.03786871563458565,0.5097790882723156,4.011510717029447,3.3185292424337236,12.855948686014605,0,0,0,0,1,0,0,0,1,0,0
33,csid_34,17.2591723655689,4.047061799527366,-0.15208414030558973,-0.032751826514211484,0.7437948468726499,5.478215134573071,3.05053991346796,8.549192361712324,0,0,0,1,0,0,0,0,1,0,0
34,csid_35,23.30428753477802,8.039376675095625,0.06033167375096653,0.005144591554079195,0.20109937066788447,4.790418473868072,4.439467864580309,11.895458665761698,0,0,0,0,1,0,1,0,0,0,0
35,csid_36,12.304674254294074,5.352831943173073,0.09176980810849872,-0.051198246114787495,0.38155082522751227,4.49121333189704,4.701131828994739,25.001907409852148,0,0,0,1,0,0,1,0,0,0,0
36,csid_37,13.804068050926006,8.720698285897997,-0.04448379194869867,-0.04650926037771661,0.6505002340584625,3.7008544225040376,3.4495820677851485,17.028164113787362,0,0,0,1,0,0,0,0,1,0,0
37,csid_38,11.513064713963844,4.697622048758395,0.09991666509955142,0.21490212156413654,0.4201973924701538,4.868967733964203,2.2371497085770318,6.910310459680934,0,0,0,0,1,0,0,0,1,0,0
38,csid_39,27.45742923341079,3.4554768977044867,0.15510244057888367,0.3649304759627371,0.28968395841468,3.3688983809521176,4.662528339031872,38.641126086716866,0,0,0,0,1,0,0,1,0,0,0
39,csid_40,15.126024210876338,7.494520982682077,-0.036937474218279684,0.022587866764966952,0.5732617832822955,3.8654927860024886,3.6640029364375706,30.03920309941231,0,0,0,1,0,0,0,1,0,0,0
40,csid_41,16.797504647259306,4.2413239908912805,-0.011823979736375865,-0.042284411919951054,0.3196133484485274,5.085756650210153,3.9003558709051793,9.328258567560843,0,0,0,0,1,0,0,0,0,0,1
41,csid_42,29.206041353018602,6.397658608621957,0.061932426250753174,-0.0020878498247199058,0.6091506429715341,4.810619743919167,2.8889472459610377,7.53466518788226,0,0,0,1,0,0,0,0,1,0,0
42,csid_43,19.812573652059733,5.78846040202064,0.08140364641016377,0.08475546063753367,0.16464358805241136,4.26569090213469,4.355577597741103,26.697315011225825,1,0,0,0,1,0,0,0,1,0,0
43,csid_44,14.75280289765023,8.061954513432156,0.06667115409165579,-0.06952891279923758,0.3859553679177138,4.7514941555880235,3.0522425310396093,11.072733065464732,0,0,0,1,0,0,1,0,0,0,0
44,csid_45,22.29224928561984,4.819431853923106,0.04589064048650947,-0.045755080080399566,0.16892884805559366,4.16937561419191,4.573044823689947,27.210338507758998,0,0,0,1,0,0,1,0,0,0,0
45,csid_46,22.389504860207538,6.879726141377787,0.15525251700360412,0.06006838083214223,0.3209704142888004,4.334019580078122,3.939490055025528,12.858631646563795,0,0,0,0,1,0,0,0,1,0,0
46,csid_47,24.372700978923092,5.845718317228255,0.12316069647232092,0.258933638122724,0.15556285092549285,3.5839327066236413,2.845000122566049,28.70314803039673,0,0,0,1,0,0,0,0,1,0,0
47,csid_48,15.619534237674324,6.183799681547352,0.13426936744882734,0.1039834379986356,0.15721029766566713,3.890606794884608,4.699774876843573,52.369205371238486,0,0,0,0,1,0,0,1,0,0,0
48,csid_49,23.488579586438462,6.390688650807832,0.007673334460156689,-0.08513542317401783,0.7213841225958131,6.845601908421817,2.93398545755863,6.672064225457919,0,0,0,1,0,0,0,0,0,0,1
49,csid_50,27.928915761675587,4.299254282970359,0.03836073947179147,-0.022382910445414628,0.22841191500861485,5.002623189016697,3.265678207002334,16.983330821512002,0,0,0,0,1,0,0,0,1,0,0
50,csid_51,25.31394955078433,7.869618049043707,-0.0669064711647715,-0.08933705281704489,0.17334662161121606,4.941768501969428,4.002620309637655,43.66446174757846,0,0,0,0,1,0,0,1,0,0,0
51,csid_52,15.856681176872911,3.644005147978324,0.13720980651538142,0.1642911970828326,0.834869907820172,5.968842199605127,3.471252530176501,4.656898223186823,0,0,0,0,1,0,0,0,1,0,0
52,csid_53,17.602612544831306,4.748102640393778,0.1191028751090105,0.15600954951873486,0.34441936306988835,4.842809494324492,3.643846597429058,9.065320919427801,0,0,0,0,1,0,0,0,1,0,0
53,csid_54,14.852647742376654,6.051917199135492,0.06609852912829414,0.08927795583220617,0.11035033636323996,3.7466670445630266,5.064032589699549,43.34065930047418,0,0,0,1,0,0,0,1,0,0,0
54,csid_55,29.35838705814337,6.2751299431602074,-0.02142055080374497,-0.044964889435733964,0.12546613335144471,3.369534159497717,3.884566698914524,95.07156246930937,0,0,0,1,0,0,0,1,0,0,0
55,csid_56,28.55071376025655,4.583295173220037,0.05718555198810488,-0.09295592511125306,0.6052546062127839,4.215779576466051,3.6891904987562834,13.071587976009805,0,0,0,0,1,0,1,0,0,0,0
56,csid_57,12.929755182761635,6.861007133899809,0.13677916351441652,0.015008085250497146,0.3916815689767698,4.492272833882415,3.274645927004222,23.053726201617785,0,0,0,1,0,0,0,0,1,0,0
57,csid_58,11.163508657070537,6.805222391113956,0.07497919175136578,0.0679917375045987,0.12566141474378847,4.193306819031808,3.995477680639692,29.270816189687505,0,0,0,0,1,0,1,0,0,0,0
58,csid_59,14.79086327084535,5.652897141245914,0.07230746495706364,-0.078474000625408,0.6669332103293243,4.437859509945495,3.5881867087423385,7.762341831002294,0,0,0,0,1,0,0,0,1,0,0
59,csid_60,33.83959999803023,3.714019970289362,0.013252319420727715,-0.07551557744436678,0.36081895336276,3.652154207958976,5.370564223156373,49.84698532512999,0,0,1,0,0,0,0,1,0,0,0
60,csid_61,16.21182648997036,1.8892844690630284,0.1910924799878113,0.5109136987560701,1.0055529374654717,5.35861991911137,3.13364534950038,12.18799787289282,0,0,0,1,0,0,1,0,0,0,0
61,csid_62,7.073644518020585,2.2228976211173936,1.8681791733815325,6.076476335563352,13.97269572455387,7.978076920715999,2.253697996005077,0.1360400891009959,1,0,0,0,1,0,0,0,1,0,0
62,csid_63,21.99215406832972,5.555492142686644,0.022081459279829744,-0.06668378669127635,4.657878203251472,9.745145995509073,2.3508562655123115,1.5117625985003955,0,0,0,0,1,0,0,0,1,0,0
63,csid_64,24.53558456349367,6.0761699768961135,0.13837372962767433,0.08659551866377745,0.32957739101062755,4.774387993021682,3.33140641130502,13.636195072686682,0,0,0,1,0,0,0,0,1,0,0
64,csid_65,27.89834517682007,9.680157325331924,0.0455340775136569,-0.1457383770939006,0.24054856834279345,3.782798997892253,5.333712402508769,48.02535570700902,0,0,0,1,0,0,0,1,0,0,0
65,csid_66,21.26800453194418,6.8720203776306334,0.05056864157488727,-0.01627093138298108,0.18275527104580275,4.7418831370839465,4.574081689996893,33.435972177034806,0,0,0,0,1,0,0,1,0,0,0
66,csid_67,33.08847623280929,5.604979065801516,-0.05338093888193148,-0.032291889052415146,0.4727941727661989,4.729263425227993,3.110809281220397,9.457550204059944,0,0,1,0,0,0,0,0,0,0,1
67,csid_68,11.139811623799767,3.4746231301020982,0.12443624658290944,0.16404149216908415,1.2722414468373566,6.4125973282360444,3.530211853857618,6.404694449183576,0,0,0,1,0,0,0,0,0,0,1
68,csid_69,29.486780238446087,9.16420857958351,0.04754735402205934,-0.06999745192219184,0.9665207456274116,6.299411254811223,2.3132105620514203,11.515153487543175,0,0,0,0,1,0,1,0,0,0,0
69,csid_70,23.20247767597181,4.117155218575607,-0.026679153614264883,0.02141370637402743,0.14010652079559532,3.97418649256965,4.452063997806006,57.838811932640574,0,0,0,1,0,0,0,1,0,0,0
70,csid_71,20.40790278826914,3.49122411642496,0.1500627453239454,0.046446999880982165,0.4541415816740635,4.040273157572793,3.4691905513875163,19.521568998688068,0,0,0,1,0,0,1,0,0,0,0
71,csid_72,24.69438298530777,5.64364912636833,0.003762354604815194,-0.07031679566512672,0.7068946671738863,4.9458939341577945,3.2968541177363067,18.06244138987166,0,0,0,1,0,0,1,0,0,0,0
72,csid_73,20.167406861665327,7.541509239485692,-0.003873574694014597,-0.07951183259513242,0.4198961510828477,5.448766582497929,3.550654276530516,15.498203160388515,0,0,0,1,0,0,0,0,1,0,0
73,csid_74,18.723588571953094,3.7630860861914623,-0.058262767357840285,-0.0012983662931981988,0.8970475716969251,4.3921269823801,2.7446222846299553,4.592394497351495,0,0,0,0,1,0,0,0,1,0,0
74,csid_75,21.93313951427306,4.207095077933879,0.03697625127290649,0.0777001590085408,2.9313116237347656,7.7740097791733325,2.39171884721464,2.346584307777324,0,0,0,0,1,0,0,0,1,0,0
75,csid_76,15.141308144972193,3.7857381553040055,-0.06582618029914633,0.08759340712261643,0.2275726800640507,4.926770977175306,2.8147515314314573,25.514127794113108,0,0,0,0,1,0,1,0,0,0,0
76,csid_77,21.117434893019443,4.455536518449425,0.004722504252241399,-0.030274571339211874,1.4618111834372232,7.400636470675312,1.8814230729237371,3.2743694697055026,0,0,0,0,1,0,0,0,0,0,1
77,csid_78,25.275768678254252,5.385552209306032,0.03664864570869555,-0.08835710046252374,0.8156385032676138,4.444147890204643,2.788194897041881,11.640802160517387,0,0,0,1,0,0,0,0,1,0,0
78,csid_79,24.8608846480575,6.811390331032794,0.20939106265330726,0.18466204695747607,0.39178503243995455,4.3704538615952115,3.6199111453830386,25.63461726725956,0,0,0,0,1,0,1,0,0,0,0
79,csid_80,24.910875137042275,9.638635734664438,-0.0050702161785431575,-0.1295432007550101,0.9247533997473996,4.999849633872269,2.3657457537681843,6.402736740985372,0,0,0,0,1,0,0,0,0,0,1
80,csid_81,16.43749396350414,4.248051404951851,0.06212891066217537,0.019324437113609767,0.5111560916665472,4.786558754508751,2.510088385418271,6.941313300974,0,0,0,0,1,0,0,0,1,0,0
81,csid_82,36.76937916391781,4.753905438032935,-0.035868511888528964,-0.04953264963002648,0.35754398422307626,3.751254713648122,3.9966852786901783,46.48057717990554,0,1,0,0,0,0,0,1,0,0,0
82,csid_83,23.413614850621098,7.215965765109216,0.07484802452746267,-0.03627778671880957,0.4811897697640449,6.731784922257107,2.717488720975038,7.194018901273669,0,0,0,0,1,0,0,0,1,0,0
83,csid_84,21.439307128231942,4.404300667806425,0.23419427459860115,0.13230126084800325,0.2781417287062127,3.785611415711731,4.148161196180957,37.908975045944146,0,0,0,1,0,0,0,1,0,0,0
84,csid_85,16.160660792870786,7.432592374426154,0.026226778685686743,-0.007806098694642262,0.2697940103477029,4.778812428732618,3.450789867720511,9.011376494789026,0,0,0,0,1,0,0,0,1,0,0
85,csid_86,14.54027053019417,6.615426780100376,0.010725627512126506,0.014537523074316732,0.3619472315407376,5.56756700277038,3.9395500733907487,8.977178314603616,0,0,0,0,1,0,0,0,1,0,0
86,csid_87,9.836455223326004,8.522643289789443,0.3416603120217596,0.1451465382442465,1.584482537532999,9.141202840603306,1.8973269077774289,1.435271700180882,0,0,0,0,1,0,0,0,0,0,1
87,csid_88,15.97120849783453,4.346761028441967,0.041431185541702886,0.1908534430113135,0.43880092569508455,4.217992295409016,3.2590672778825702,18.314457536164923,0,0,0,1,0,0,1,0,0,0,0
88,csid_89,24.594639464878654,4.4847017505394176,0.17239939578223207,0.07365046956773638,0.319883930990492,4.1293700152740245,3.0364764712399817,20.62108235842485,0,0,0,0,1,0,0,0,1,0,0
89,csid_90,11.000656781592973,9.360710942091774,-0.016322347048356584,-0.05534110068882391,0.5845836959201364,4.0486927796231935,2.474740178807713,11.903514918755308,0,0,0,1,0,0,1,0,0,0,0
90,csid_91,24.816761432910102,3.5240231106939444,0.13877877595453528,0.1317092516081651,0.5468963617004962,4.732212898149868,3.414667171802684,7.862973255303942,0,0,0,0,1,0,0,0,0,0,1
91,csid_92,21.827991905609498,2.2418418623494305,0.1563249473426682,0.1972165488542176,0.4761201973784941,4.357192204882277,3.778232012411896,16.629133689383266,0,0,0,0,1,0,1,0,0,0,0
92,csid_93,5.074714383268866,3.2328246848404913,1.93504990067674,6.089134569317938,12.965956496487225,9.922563151490946,1.947647146007193,-0.1841212923970126,1,0,0,0,1,0,0,0,0,0,1
93,csid_94,16.20803805237103,4.866525955593298,0.3499389587326648,0.8956634665156944,0.7412259606249146,7.242971740013141,2.3961413520996366,3.7939615260925956,1,0,0,0,1,0,0,0,0,0,1
94,csid_95,27.486292143151392,3.3963123397104114,0.014656133023618125,-0.0477115687055228,8.017363580421556,14.406889707392526,1.6576792392109096,-0.27716783906945874,0,0,0,1,0,0,0,0,1,0,0
95,csid_96,18.87936296371528,8.711360354711168,0.021482543212659324,-0.01555055621250119,0.19737544448783992,3.483723543629213,6.368488566312701,50.49509486716797,0,0,0,0,1,0,0,1,0,0,0
96,csid_97,13.076894406760275,2.7519222826413485,0.33919986263480434,1.0432361663238403,0.490023857396016,4.044275111697055,3.9084984667524414,7.273622955261134,0,0,0,1,0,0,0,0,1,0,0
97,csid_98,15.041562791792181,6.860828278958803,0.016691480764514315,0.08610372695093721,0.7205414842945436,5.459604208124723,3.419457626492485,8.216917039671394,0,0,0,0,1,0,0,0,0,0,1
98,csid_99,13.258355383805652,5.829771989463312,0.19458676586716397,0.11374987088310184,0.5292431193296983,4.275418779244777,2.595074280563795,9.829033976027324,0,0,0,1,0,0,0,0,1,0,0
99,csid_100,11.79434959923373,4.684975745634695,0.1355389498979816,0.07656088994333644,0.3218934482038153,4.322120560033812,3.4930329863827585,31.847448855822226,0,0,0,1,0,0,0,1,0,0,0
100,csid_101,19.178933072198912,5.304517041591266,0.11392758967566508,0.09964736365933403,4.613220730665232,12.553296546738375,1.8438340635549384,0.0939677137064012,1,0,0,1,0,0,0,0,0,0,1
101,csid_102,21.873680171367127,5.630486001708168,0.10818327312273653,0.10088077896418084,1.1046991914744686,7.46788787200317,2.1938640298504244,2.945444183525108,0,0,0,0,1,0,0,0,0,0,1
102,csid_103,25.776126248839244,7.872142151834232,0.10218816638885847,0.05388861263299617,0.5218928942619465,4.698588392482097,3.0994061272583235,24.205824494796378,0,0,0,1,0,0,1,0,0,0,0
104,csid_105,17.2685761544097,5.032667518424248,0.17967872774835586,0.16842765109646105,0.4962835813438346,4.508144349447472,3.5016933251697044,13.438693152368483,0,0,0,1,0,0,0,0,1,0,0
105,csid_106,17.27927860697952,5.7909607745694025,0.023853812899633304,-0.03589087106932904,0.414820798112469,3.363702610814811,4.119027545898621,39.87200020166009,0,0,0,1,0,0,0,1,0,0,0
106,csid_107,20.0849931315356,3.7074866947188303,0.06678217394494991,0.03812138894105658,0.5902452293949708,4.860339061240225,3.1886900483610225,14.74337249867617,0,0,0,1,0,0,0,0,1,0,0
107,csid_108,16.73679411647686,3.2187685036263307,0.2791174564772251,0.5232434701862113,0.2376554689087033,4.547003669155711,4.480183525319085,34.04829847829669,0,0,0,1,0,0,0,1,0,0,0
108,csid_109,22.5140620804503,6.610602527798194,-0.09156244553841326,-0.0472031510994283,0.7842067449693392,5.31344240212141,2.8057464084295693,10.428180960022468,0,0,0,0,1,0,1,0,0,0,0
110,csid_111,6.769723550657521,1.3597939923622455,1.4021095585490766,5.339938833979177,4.507312399364971,10.370829520251226,1.8060406951699015,0.2865213263641703,1,0,0,0,1,0,0,0,1,0,0
111,csid_112,26.78063072615232,6.226686417921325,0.003988971000035945,0.05979394179552521,0.6643567489718429,4.521223921488591,2.6244252859943433,8.556340801239635,0,0,0,0,1,0,0,0,1,0,0
112,csid_113,29.48881952802441,5.314622679773038,0.07602183457907681,-0.04032050664180916,0.4786583209459189,6.06557452744854,2.3786407493562214,6.643283644256925,0,0,0,0,1,0,0,0,0,0,1
113,csid_114,33.688191129728196,4.0792134544079355,-0.030268515728928767,-0.0014983937960354942,0.508913421667906,6.062103538286951,2.9875311423477955,8.182980989977555,0,0,1,0,0,0,0,0,1,0,0
114,csid_115,27.19667716887868,4.707684151826531,0.03610566680865973,-0.01705787973353489,1.106198334085967,5.3120302097991745,2.25598974554797,5.802771225432438,0,0,0,0,1,0,0,0,0,0,1
115,csid_116,16.46740316760575,4.794837476413713,0.07048292774719317,0.08240728593990915,0.14446739198095682,3.6122002540630493,4.112782654489789,26.769174267067108,0,0,0,1,0,0,1,0,0,0,0
116,csid_117,12.996756483684525,4.679958449616564,0.125901293355719,0.038284458114656125,0.38937247240232703,4.343972130524662,3.0011300468510864,18.063941972706008,0,0,0,1,0,0,1,0,0,0,0
117,csid_118,10.367535280383665,6.91238887382128,0.0999163312666446,0.12095198535074955,0.6944233186621908,5.771053149887151,3.2061669124615184,3.451669624834558,0,0,0,1,0,0,0,0,0,0,1
118,csid_119,27.47561368673977,6.4699900509650305,-0.06487704845782352,-0.0644028009212794,2.030106098651907,7.170792533197143,2.3937871063157887,2.1520475801912866,0,0,0,0,1,0,0,0,0,0,1
119,csid_120,20.971875789556012,2.2635070000464195,0.22662925129407502,0.3583534218985513,0.6335888046695004,4.683542516526129,3.7339724716172102,17.763840027838633,0,0,0,1,0,0,0,0,1,0,0
120,csid_121,16.518427831764818,3.4212768467327686,0.11526508882690838,0.15051320746389912,0.3291255206962043,4.1811914222216116,3.6114855495928837,17.698722030955434,0,0,0,0,1,0,1,0,0,0,0
121,csid_122,24.788111679620737,5.344441102904676,0.08411041129472109,0.2274350942913137,0.37678898511159137,5.560420334510113,4.281245955135379,18.50674686315196,0,0,0,1,0,0,1,0,0,0,0
122,csid_123,9.552306100401488,3.8059793052541657,0.19173820026449806,0.32013376493341056,0.2300212638910159,4.000724172749247,3.345105625339797,22.161778615491837,0,0,0,0,1,0,1,0,0,0,0
123,csid_124,34.90325208252495,4.131499411352641,-0.060555115962153586,-0.01768084517015562,0.6936763001090971,5.860803904239483,2.387014005744253,9.539692151817878,0,0,1,0,0,0,0,0,0,0,1
124,csid_125,11.790159368532093,3.477747369178672,0.2395851304439067,0.5200186012173573,0.3833677393446419,5.451546516866936,3.306424867139232,18.723983522977747,0,0,0,1,0,0,0,0,1,0,0
125,csid_126,10.335753706973987,4.459608137496102,0.22639420790695994,0.20962388550393615,0.3805951872232081,4.519515523584662,3.3787019379973633,30.034253864637225,0,0,0,1,0,0,0,1,0,0,0
126,csid_127,16.416942637627987,4.434379844836581,0.13758334938393327,0.17761883333687173,0.16317632014217506,4.518045151058666,4.964491492287402,40.36928019400814,0,0,0,0,1,0,0,1,0,0,0
127,csid_128,17.13356059961648,4.263575424864614,0.230925874615588,0.12550952893897055,0.2608897753181908,3.4161842368615387,3.7737352347393593,44.9549805902664,0,0,0,0,1,0,0,1,0,0,0
128,csid_129,19.068313252390357,6.615351019351287,0.03352383543525076,0.05489081755095613,0.5348825998565105,4.999484332230553,3.1064411846556856,13.93033388489443,0,0,0,1,0,0,1,0,0,0,0
129,csid_130,23.34093387177317,6.1356658711775545,0.012132408622918443,-0.07428295865427875,0.41199509038116783,4.301269602636255,4.4082766009356655,23.649937655321487,0,0,0,0,1,0,0,0,1,0,0
130,csid_131,15.060289276794787,5.499132840450716,0.17843056783553507,0.5002132081144787,1.3102138712318778,5.338399777806057,2.5580304424804017,5.039479423863615,0,0,0,1,0,0,0,0,1,0,0
131,csid_132,11.069500945314728,6.6625464393177545,0.09867243293307412,0.16258845697980207,0.19745715603869088,3.84729905653236,3.6292071800622785,29.74564165205473,0,0,0,0,1,0,1,0,0,0,0
132,csid_133,4.3722510398015135,0.8016286383981326,2.0780358154813947,5.9073603289387275,6.271340880425372,12.982745509045186,1.754368047992633,0.1467357511086889,1,0,0,0,1,0,0,0,0,0,1
134,csid_135,20.760114708093184,7.0699287723344115,0.015513269677174285,-0.16329488457137434,13.615126689298071,9.914498050604145,1.6880575242726568,-0.19029807690705766,0,0,0,1,0,0,0,0,1,0,0
135,csid_136,28.1543778190302,5.166890252776682,-0.1551810261418299,0.08830152639743576,0.4723199101786554,4.443006204591099,2.950766804639048,12.475478178588649,0,0,0,1,0,0,1,0,0,0,0
136,csid_137,18.46219932261261,4.923540512256776,0.02097745053811519,-0.02210476269530365,0.4793079714554309,4.345509258008629,3.1644291666354567,32.36886683102942,0,0,0,1,0,0,0,1,0,0,0
137,csid_138,11.843463914618539,5.710555728186897,0.10314345147079412,0.19404349963277526,1.056817606350285,5.905902800784142,2.3509888266675967,5.543989692853656,0,0,0,0,1,0,0,0,1,0,0
138,csid_139,11.318635480516637,5.042846433246237,0.07412665871326066,0.05707702316170965,0.3383890854051741,4.613301689940581,3.2039538836917973,10.77628371179041,0,0,0,0,1,0,1,0,0,0,0
139,csid_140,24.069853328087465,4.9277473587530425,-0.07800063983935265,0.02442551227578206,0.23764670318013836,4.401250630297174,4.1449995116437925,37.95096486337347,0,0,0,0,1,0,0,1,0,0,0
140,csid_141,28.289361732150674,7.1317418951407685,-0.06280061743321637,0.003588220175934891,0.3573799610854939,4.194842345812218,2.321171372791837,9.089844047391217,0,0,0,0,1,0,0,0,1,0,0
141,csid_142,27.887562697622037,5.592600259488934,-0.04779744117051632,-0.05673479290043714,0.2599853623535809,4.477995296470903,4.551239943918639,16.447566916250775,0,0,0,0,1,0,1,0,0,0,0
142,csid_143,26.082727084650546,4.0313809869740185,0.1147752891584487,-0.00995301761136032,0.5544126583495833,5.375781169972536,3.1997192819334628,11.90010836124554,0,0,0,0,1,0,1,0,0,0,0
143,csid_144,11.07075340256598,4.9927752894620445,0.06386796477668158,-0.05657109044185357,0.31243130455663265,3.6356477934627773,3.9770804887154014,12.218562606822893,0,0,0,1,0,0,0,0,1,0,0
144,csid_145,25.171735546413316,8.392304203733772,0.034871706321911874,-0.048659754081105414,0.369718175835568,4.150265536576826,4.2018660918137645,12.995478734999173,0,0,0,1,0,0,1,0,0,0,0
